#cassette	component type or tool_uses	tool or CV term	pub_curies	internal_note	where tool data came from
FBti0167947_cas	tagged_with	FBto0000027	FBrf0225747		TOOL DATA from: FBal0302198
FBti0167948_cas	carries_tool	FBto0000349	FBrf0227064|FBrf0227617		TOOL DATA from: FBal0301888
FBti0167949_cas	encodes_tool	FBto0000031			TOOL DATA from: FBtp0099205
FBti0167949_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099205
FBti0167950_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0167950_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0167951_cas	carries_tool	FBto0000349	FBrf0227617		TOOL DATA from: FBal0302732
FBti0167951_cas	carries_tool	FBto0000356	FBrf0227617		TOOL DATA from: FBal0302732
FBti0167953_cas	carries_tool	FBto0000318	FBrf0206395		TOOL DATA from: FBal0219603
FBti0167953_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219603
FBti0167953_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219603
FBti0167954_cas	carries_tool	FBto0000318	FBrf0206395		TOOL DATA from: FBal0219602
FBti0167954_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219602
FBti0167954_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219602
FBti0168130_cas	tagged_with	FBto0000031	FBrf0227964		TOOL DATA from: FBal0304195
FBti0168172_cas	encodes_tool	FBto0000159			TOOL DATA from: FBtp0099209
FBti0168172_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099209
FBti0168172_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304286
FBti0168172_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304292
FBti0168173_cas	encodes_tool	FBto0000159			TOOL DATA from: FBtp0099209
FBti0168173_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099209
FBti0168173_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304288
FBti0168173_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304293
FBti0168174_cas	encodes_tool	FBto0000159			TOOL DATA from: FBtp0099209
FBti0168174_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099209
FBti0168174_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304289
FBti0168174_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304294
FBti0168175_cas	encodes_tool	FBto0000159			TOOL DATA from: FBtp0099209
FBti0168175_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099209
FBti0168175_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304290
FBti0168175_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304295
FBti0168176_cas	encodes_tool	FBto0000159			TOOL DATA from: FBtp0099209
FBti0168176_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099209
FBti0168176_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304291
FBti0168176_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0326391
FBti0168177_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168177_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168177_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304287
FBti0168177_cas	carries_tool	FBto0000349	FBrf0228945		TOOL DATA from: FBal0304297
FBti0168251_cas	tagged_with	FBto0000079	FBrf0212671		TOOL DATA from: FBal0285816
FBti0168252_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168252_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168254_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290697
